"policy_area","series_name","description","overview","age","disability","ethnicity","gender","religion","sexualOrientation","transgender","socioEconomicStatus"
"Business, Enterprise and Tourism","Delivering through diversity: Diversity and financial performance in 2017","Research looking at the correlation between diversity in the leadership of large corporations and financial performance. Includes analysis of ethnicity and gender",,,,1,1,,,,
"Business, Enterprise and Tourism","Analysis of Equality Results from the 2011 Census: Part 2","Brings together relevant statistics from the census and other sources to paint a highly detailed picture of equality in Scotland. The policy areas covered are Labour Market, Education, Housing and Transport.",,,,,,1,,,
"Business, Enterprise and Tourism","Female FTSE Index","An annual report on the gender balance of executive directors on boards of the UK's top 100 companies",1,,,,1,,,,
"Business, Enterprise and Tourism","Global Entrepreneurship Monitor","An annual report published by the Hunter Centre for Entrepreneurship at the University of Strathclyde, on entrepreneurship within Scotland and the UK.",1,1,,1,1,,,,
"Business, Enterprise and Tourism","Small Business Survey reports","A collection of UK small business survey reports. This includes ethnicity and gender, whilst the surveys for 2012 and 2014 also contain a breakdown for Scotland by age and disability.",1,1,1,1,1,,,,
"Business, Enterprise and Tourism","Small Business Survey Scotland","Findings from the Longitudinal Small Business Survey. It outlines the key characteristics of small and medium-sized enterprises with employees, in Scotland. Includes statistics on ethnicity and gender",1,,,1,1,,,,
"Business, Enterprise and Tourism","Regional Employment Patterns in Scotland - Statistics from the Annual Population Survey","Summary publication of results from the Annual Population Survey, presenting analysis on the labour market, education and training. The main publication contains data on age, disability, ethnicity and gender, with further equalities analysis found in the Supplementary Local Authority Tables.",1,1,1,1,1,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Business, Enterprise and Tourism","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Business, Enterprise and Tourism","Stonewall Scotland Workplace Equality Index","An annual report measuring workplace inclusivity of lesbian, gay, bisexual and trans employees, including staff survey results",1,,,,,,1,1,
"Children and Families","Bullying Experiences among disabled children and young people in England: Evidence from two longitudinal studies","An ESRC funded project focusing on disabled children’s early cognitive development and their subsequent educational transitions. The research involved analysis of two longitudinal studies of children at different ages, the Millennium Cohort Study (MCS) and Next Steps (formerly the Longitudinal Study of Young People in England).
",1,,1,,,,,,
"Children and Families","Children's Social Work Statistics Scotland","A compendium of statistics on looked after children, child protection and secure care statistics. Covers age, gender, religion and additional support needs",1,1,1,,1,1,,,
"Children and Families","Education Outcomes for Looked After Children","This publication links school and social work data to present information on the attainment, post-school destinations of looked after young people who leave school, and the school attendance and exclusion rates of all looked after children. Includes breakdowns by gender",1,,,,1,,,,
"Children and Families","Young Gypsies & Travellers in Scotland","Produced by Save the Children, this report is the result of peer-led opinion research, whereby 14 young gypsy-traveller children gathered the views of their peers to provide a snapshot of life in the gypsy traveller community.",,,,1,,,,,
"Children and Families","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
