"policy_area","name","link","published_by","publication_type","description","name1","link1","name2","link2","name3","link3","name4","link4","name5","link5","name6","link6","name7","link7","name8","link8","overview","age","disability","ethnicity","gender","religion","sexualOrientation","transgender","socioEconomicStatus"
"Business, Enterprise and Tourism","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
"Business, Enterprise and Tourism","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by disability status","Overview of disability status categories","http://statistics.gov.scot/def/concept-scheme/disability-status","Disability or Long-Term Sick category","http://statistics.gov.scot/def/concept/disability-status/disability-or-long-term-sick","No disability/ Not long term sick category","http://statistics.gov.scot/def/concept/disability-status/no-disability-/-not-long-term-sick",,,,,,,,,,,,,1,,,,,,
"Business, Enterprise and Tourism","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Business, Enterprise and Tourism","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Business, Enterprise and Tourism","Annual Population Survey","http://www.data-archive.ac.uk/",,"Scottish Government Survey Data","Annual Population Survey microdata is available (through a ‘special licence’ scheme) from the UK Data Archive",,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,
"Children and Families","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
"Children and Families","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by disability status","Overview of disability status categories","http://statistics.gov.scot/def/concept-scheme/disability-status","Disability or Long-Term Sick category","http://statistics.gov.scot/def/concept/disability-status/disability-or-long-term-sick","No disability/ Not long term sick category","http://statistics.gov.scot/def/concept/disability-status/no-disability-/-not-long-term-sick",,,,,,,,,,,,,1,,,,,,
"Children and Families","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by ethnic group","Overview of ethnic group categories","http://statistics.gov.scot/def/concept-scheme/ethnicity","Asian","http://statistics.gov.scot/def/concept/ethnicity/asian","Black","http://statistics.gov.scot/def/concept/ethnicity/black","Chinese","http://statistics.gov.scot/def/concept/ethnicity/chinese","Mixed","http://statistics.gov.scot/def/concept/ethnicity/mixed","Other","http://statistics.gov.scot/def/concept/ethnicity/other","White","http://statistics.gov.scot/def/concept/ethnicity/white",,,,,,1,,,,,
"Children and Families","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by gender","Overview of gender categories","http://statistics.gov.scot/def/concept-scheme/gender/","Female","http://statistics.gov.scot/def/concept/gender/female","Male","http://statistics.gov.scot/def/concept/gender/male",,,,,,,,,,,,,,,1,,,,
"Crime and Justice","statistics.gov.scot","http://statistics.gov.scot",,"Official Statistics","Explore, visualise and download over 200 datasets from a range of producers. Start browsing by theme, organisation, or geography. Or access programmatically using our APIs. A range of datasets are available that can be broken down by age group","Overview of age categories","http://statistics.gov.scot/def/concept-scheme/age","Working age","http://statistics.gov.scot/def/concept/age/working-age","16 and Over","http://statistics.gov.scot/def/concept/age/16-and-over","Children","http://statistics.gov.scot/def/concept/age/children","Pensioners","http://statistics.gov.scot/def/concept/age/pensioners",,,,,,,,1,,,,,,,
