"policy_area","name","link","description","overview","age","disability","ethnicity","gender","religion","sexualOrientation","transgender","socioEconomicStatus"
"Business, Enterprise and Tourism","Equality Network","https://www.equality-network.org/resources/publications/","Works for Lesbian, Gay, Bisexual and Transgender (LGBT) equality and human rights in Scotland",,,,,,,1,1,
"Business, Enterprise and Tourism","Stonewall Scotland","http://www.stonewallscotland.org.uk/our-work/research-and-resources","LGBT research and publications.",,,,,,,1,1,
"Business, Enterprise and Tourism","Coalition for Racial Equality and Rights (CRER)","http://www.crer.org.uk/publications","Tackles racial inequality and promotes racial justice across Scotland.",,,,,,,,,
"Children and Families","Scottish Children's Reporter Administration","http://www.scra.gov.uk/resources_articles_category/official-statistics/","Produces statistics on children and young people referred to a Children's Hearing. Includes breakdowns by age and gender",1,1,,,1,,,,
"Children and Families","Equality Network","https://www.equality-network.org/resources/publications/","Works for Lesbian, Gay, Bisexual and Transgender (LGBT) equality and human rights in Scotland",,,,,,,1,1,
"Children and Families","Stonewall Scotland","http://www.stonewallscotland.org.uk/our-work/research-and-resources","LGBT research and publications.",,,,,,,1,1,
"Demographics","Scottish Learning Disabilities Observatory","https://www.sldo.ac.uk/census-2011-information/learning-disabilities/","A platform for sharing visually engaging and easily accessible information about the lives of people with a learning
disability or a developmental disorder. Scotland's Census 2011 data were analysed for Scotland, Council Area and Health Board Area geographies and these outputs are presented graphically on the Scottish Learning Disabilities Observatory website.",,,1,,,,,,
"Employability, Skills and Lifelong Learning","Scottish Funding Council","http://www.sfc.ac.uk/publications-statistics/statistical-publications/statistics-schedule/statistics-publication-schedule.aspx","Collects information on further and higher education in Scotland",1,1,1,1,1,,,,
"Employability, Skills and Lifelong Learning","Skills Development Scotland","https://www.skillsdevelopmentscotland.co.uk/publications-statistics/statistics/?page=1","Collects information on modern apprenticeships in Scotland",1,1,1,1,1,,,,
"Employability, Skills and Lifelong Learning","Equality Network","https://www.equality-network.org/resources/publications/","Works for Lesbian, Gay, Bisexual and Transgender (LGBT) equality and human rights in Scotland",,,,,,,1,1,
"Employability, Skills and Lifelong Learning","Stonewall Scotland","http://www.stonewallscotland.org.uk/our-work/research-and-resources","LGBT research and publications.",,,,,,,1,1,
"Housing and Regeneration","Equality Network","https://www.equality-network.org/resources/publications/","Works for Lesbian, Gay, Bisexual and Transgender (LGBT) equality and human rights in Scotland",,,,,,,1,1,
"Housing and Regeneration","Stonewall Scotland","http://www.stonewallscotland.org.uk/our-work/research-and-resources","LGBT research and publications.",,,,,,,1,1,
"Housing and Regeneration","Housing Support Enabling Unit","http://www.ccpscotland.org/hseu/resources/","Provides information and research about housing support in Scotland",1,1,1,1,1,1,1,1,
"Housing and Regeneration","Scottish Women's Aid","http://womensaid.scot/working-for-change/policy-research/research/","Provides support, information and research about domestic abuse in Scotland",1,1,1,1,1,1,1,1,
"Housing and Regeneration","Shelter","https://scotland.shelter.org.uk/professional_resources/policy_library","Provides information and research about homelessness in Scotland",1,1,1,1,1,1,1,1,
"Housing and Regeneration","Joseph Rowntree Foundation","https://www.jrf.org.uk/reports","Carries out research and analysis of poverty in Scotland and the UK",1,1,1,1,1,1,1,1,
"Income and Poverty","Equality Network","https://www.equality-network.org/resources/publications/","Works for Lesbian, Gay, Bisexual and Transgender (LGBT) equality and human rights in Scotland",,,,,,,1,1,
"Income and Poverty","Stonewall Scotland","http://www.stonewallscotland.org.uk/our-work/research-and-resources","LGBT research and publications.",,,,,,,1,1,
"Income and Poverty","Joseph Rowntree Foundation","https://www.jrf.org.uk/reports","Carries out research and analysis of poverty in Scotland and the UK",1,1,1,1,1,1,1,1,
"Income and Poverty","Poverty Alliance","http://www.povertyalliance.org/news_and_publications","Works to combat poverty, focusing on low incomes, services, participation and attitudes",1,1,1,1,1,1,1,1,
"Labour Market and Social Security","Equality Network","https://www.equality-network.org/resources/publications/","Works for Lesbian, Gay, Bisexual and Transgender (LGBT) equality and human rights in Scotland",,,,,,,1,1,
"Labour Market and Social Security","Stonewall Scotland","http://www.stonewallscotland.org.uk/our-work/research-and-resources","LGBT research and publications.",,,,,,,1,1,
"Labour Market and Social Security","Office for National Statistics: Labour Market","http://www.ons.gov.uk/ons/taxonomy/index.html?nscl=Labour+Market","ONS publications on UK labour market statistics",1,1,1,1,1,1,1,1,
"Labour Market and Social Security","Nomis","https://www.nomisweb.co.uk/Default.asp","An Office for National Statistics (ONS) service, providing access to the most detailed and up-to-date UK labour market statistics from official sources.",1,1,1,1,1,1,1,1,
"Local Government and Third Sector","Stonewall Scotland","http://www.stonewallscotland.org.uk/our-work/research-and-resources","LGBT research and publications.",,,,,,,1,1,
"Local Government and Third Sector","Improvement Service","http://www.improvementservice.org.uk/research.html","The Improvement Service works with councils and their partners to help improve the efficiency, quality and accountability of local public services in Scotland. It produces a small number of research publications each year, which have covered poverty and neighbourhood inequalities",1,1,1,1,1,1,1,1,
"Local Government and Third Sector","Local Area Research and Intelligence Association","http://laria.org.uk/library/useful-research/","Develops and delivers a programme of activities which promote the further development and understanding of local government R&I in Scotland",1,1,1,1,1,1,1,1,
"School Education","Equality Network","https://www.equality-network.org/resources/publications/","Works for Lesbian, Gay, Bisexual and Transgender (LGBT) equality and human rights in Scotland",,,,,,,1,1,
"School Education","Stonewall Scotland","http://www.stonewallscotland.org.uk/our-work/research-and-resources","LGBT research and publications.",,,,,,,1,1,
"Third Sector","Scottish Council for Voluntary Organisations","https://scvo.org/policy-research/evidence-library","The national membership organisation for Scotland’s charities, voluntary organisations and social enterprises. Produces research on issues effecting third sector organisations",1,1,1,1,1,1,1,1,
"Third Sector","Third Sector Research Centre","http://www.tsrc.ac.uk/","The Third Sector Research Centre works to enhance knowledge through independent and critical research. In collaboration with practitioners, policy makers, and other academics, it explore the key issues affecting charities and voluntary organisations, community groups, social enterprises, cooperatives and mutuals.",1,1,1,1,1,1,1,1,
"Third Sector","Social Enterprise Scotland","http://www.socialenterprisescotland.org.uk/policy/","Organisation comprising of social enterprises in Scotland.",1,1,1,1,1,1,1,1,
"Third Sector","Centre for Charitable Giving and Philanthropy","http://cgap.org.uk/research/research-outputs.html","Conducts and promotes high quality research on giving and philanthropy",1,1,1,1,1,1,1,1,
"Third Sector","Scottish Third Sector Research Forum","http://www.evaluationsupportscotland.org.uk/our-work-partners/scottish-third-sector-research-forum/","The Scottish Third Sector Research Forum  (TSRF) brings together third sector and public sector partners to promote and share research about and from the third sector",1,1,1,1,1,1,1,1,
